type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-18 01:45:00,BUY,623.74,23539.383855277247,1468245.5285890629,587.2982114356251,1834719.6125249004,608.1465,654.927,,,
exit,2025-03-18 05:00:00,,634.65,23539.383855277247,,597.5707985500682,3559182.248176487,,,256217.10706252395,17.450562734472648,signal_reversal
entry,2025-03-18 05:00:00,SELL,634.65,44864.81995653043,2847345.798541204,1138.9383194164816,3558043.309857071,650.5162499999999,602.9174999999999,,,
exit,2025-03-18 11:15:00,,632.05,44864.81995653043,,1134.2723781410023,6520903.367907114,,,115514.25950883914,4.056910107933542,signal_reversal
entry,2025-03-18 11:15:00,BUY,632.05,82536.5508160066,5216722.694325697,2086.6890777302788,6518816.678829384,616.24875,663.6525,,,
exit,2025-03-18 16:15:00,,633.92,82536.5508160066,,2092.862811731316,11887789.860369282,,,152250.4872142014,2.918508345858721,signal_reversal
entry,2025-03-18 16:15:00,SELL,633.92,150022.5878390878,9510231.888295453,3804.0927553181814,11883985.767613964,649.7679999999999,602.2239999999999,,,
exit,2025-03-18 20:00:00,,629.1,150022.5878390878,,3775.168400382806,22113551.36089343,,,719333.7049840108,7.563787228672288,signal_reversal
entry,2025-03-18 20:00:00,BUY,629.1,281208.7281626893,17690841.088714786,7076.336435485915,22106475.024457943,613.3725000000001,660.5550000000001,,,
exit,2025-03-19 02:45:00,,613.3725000000001,281208.7281626893,,6899.4280245987675,35367706.41296944,,,-4429609.700203285,-25.038999999999938,stop_loss
entry,2025-03-19 07:45:00,BUY,615.24,459888.2571090242,28294165.130375605,11317.666052150242,35356388.74691729,599.859,646.0020000000001,,,
exit,2025-03-19 08:15:00,,619.75,459888.2571090242,,11400.62989373271,65713249.286960855,,,2062695.4096679622,7.2901794421688955,signal_reversal
entry,2025-03-19 08:15:00,SELL,619.75,848254.9323044576,52570599.42956876,21028.239771827506,65692221.04718903,635.24375,588.7624999999999,,,
exit,2025-03-19 09:30:00,,614.44,848254.9323044576,,20848.070424206042,122746206.09687021,,,4483385.620112418,8.528313674868812,signal_reversal
entry,2025-03-19 09:30:00,BUY,614.44,1598153.8454120215,98196964.87749626,39278.78595099851,122706927.31091921,599.0790000000001,645.162,,,
exit,2025-03-19 11:30:00,,619.18,1598153.8454120215,,39581.79592008862,228439559.61974818,,,7535667.431332726,7.674032940563594,signal_reversal
entry,2025-03-19 11:30:00,SELL,619.18,2951510.83200038,182751647.69579953,73100.65907831982,228366458.96066985,634.6594999999999,588.2209999999999,,,
exit,2025-03-19 12:00:00,,614.02,2951510.83200038,,72491.46724259494,426275411.08234864,,,15157304.425879272,8.29393585064112,signal_reversal
entry,2025-03-19 12:00:00,BUY,614.02,5553896.108691553,341020328.8658787,136408.13154635148,426139002.95080227,598.6695,644.721,,,
exit,2025-03-19 16:30:00,,613.88,5553896.108691553,,136377.0297281428,766245409.3317361,,,-913922.4849448844,-0.2679964821992547,signal_reversal
entry,2025-03-19 16:30:00,SELL,613.88,9985605.125845274,612996327.4653896,245198.53098615585,766000210.8007499,629.227,583.1859999999999,,,
exit,2025-03-20 07:15:00,,629.227,9985605.125845274,,251328.49426080976,1225496127.9055314,,,-153500410.36060804,-25.040999999999976,stop_loss
entry,2025-03-20 07:45:00,BUY,623.82,15716022.28726915,980396902.3244241,392158.76092976966,1225103969.1446016,608.2245,655.0110000000001,,,
exit,2025-03-20 09:15:00,,632.3,15716022.28726915,,397489.6356896114,2338375250.829377,,,132874379.36035128,13.55312109262272,signal_reversal
entry,2025-03-20 09:15:00,SELL,632.3,29585642.90152641,1870700200.6635146,748280.0802654059,2337626970.7491117,648.1074999999998,600.685,,,
exit,2025-03-20 15:30:00,,623.57,29585642.90152641,,737948.7737641929,4465871885.169185,,,257544713.75655854,13.767289577731939,signal_reversal
entry,2025-03-20 15:30:00,BUY,623.57,57294249.3727304,3572697508.1353493,1429079.0032541398,4464442806.165931,607.9807500000001,654.7485,,,
exit,2025-03-20 19:30:00,,627.02,57294249.3727304,,1436985.6096675766,8233368489.027529,,,196228174.72624838,5.492437416809551,signal_reversal
entry,2025-03-20 19:30:00,SELL,627.02,105047602.80727963,6586694791.222048,2634677.9164888193,8230733811.11104,642.6954999999999,595.669,,,
exit,2025-03-21 01:00:00,,626.97,105047602.80727963,,2634467.821283205,14820046514.652164,,,2617912.3190759993,0.03974546266459525,signal_reversal
entry,2025-03-21 01:00:00,BUY,626.97,189100550.45252103,11856037211.721712,4742414.884688685,14815304099.767475,611.29575,658.3185000000001,,,
exit,2025-03-21 04:45:00,,630.21,189100550.45252103,,4766922.316027332,27279260172.639328,,,607918861.1501426,5.127504665295005,signal_reversal
entry,2025-03-21 04:45:00,SELL,630.21,346287874.4880525,21823408138.111557,8729363.255244624,27270530809.384083,645.96525,598.6995000000001,,,
exit,2025-03-21 08:15:00,,628.46,346287874.4880525,,8705123.10403046,49691237604.7457,,,597298657.2500614,2.7369632344773964,signal_reversal
entry,2025-03-21 08:15:00,BUY,628.46,632546066.3176105,39752990083.796555,15901196.033518622,49675336408.71218,612.7485,659.883,,,
exit,2025-03-21 09:45:00,,632.56,632546066.3176105,,16004933.588394709,92005760430.82248,,,2577433938.3137507,6.483622824045936,signal_reversal
entry,2025-03-21 09:45:00,SELL,632.56,1163598841.9226344,73604608344.65816,29441843.337863263,91976318587.48462,648.3739999999999,600.9319999999999,,,
exit,2025-03-21 20:15:00,,632.66,1163598841.9226344,,29446497.733230952,165435120550.21725,,,-145806381.92552084,-0.1980940938409364,signal_reversal
entry,2025-03-21 20:15:00,BUY,632.66,2091930838.6838686,132348096440.17363,52939238.57606945,165382181311.64117,616.8435,664.293,,,
exit,2025-03-22 01:00:00,,635.36,2091930838.6838686,,53165167.10664732,303325325849.15466,,,5595048097.339893,4.227524420699974,signal_reversal
entry,2025-03-22 01:00:00,SELL,635.36,3819256180.42252,242660260679.32526,97064104.27173011,303228261744.88293,651.2439999999999,603.592,,,
exit,2025-03-22 01:45:00,,632.03,3819256180.42252,,96555379.34849782,558510090125.6669,,,12621567701.45865,5.201332787710968,signal_reversal
entry,2025-03-22 01:45:00,BUY,632.03,7069412402.900712,446808072100.5337,178723228.84021348,558331366896.8267,616.22925,663.6315,,,
exit,2025-03-22 06:45:00,,631.73,7069412402.900712,,178638395.89137867,1002839976880.5991,,,-2299462116.761271,-0.5146420264860126,signal_reversal
entry,2025-03-22 06:45:00,SELL,631.73,12699602385.58375,802271981504.4822,320908792.6017929,1002519068087.9973,647.52325,600.1435,,,
exit,2025-03-22 10:15:00,,628.96,12699602385.58375,,319501676.6574702,1839649446523.8887,,,34858396931.40929,4.344960030392703,signal_reversal
entry,2025-03-22 10:15:00,BUY,628.96,23399255234.340923,1471719557219.107,588687822.8876429,1839060758701.001,613.236,660.408,,,
exit,2025-03-22 20:00:00,,626.77,23399255234.340923,,586638048.1291144,3258949308908.771,,,-51831007011.33701,-3.521799160519038,signal_reversal
entry,2025-03-22 20:00:00,SELL,626.77,41596749160.4102,2607159447127.0303,1042863778.8508122,3257906445129.9204,642.4392499999999,595.4314999999999,,,
exit,2025-03-22 23:15:00,,624.72,41596749160.4102,,1039452845.4196584,5949299775190.37,,,84233882933.41936,3.230868101536376,signal_reversal
entry,2025-03-22 23:15:00,BUY,624.72,76185168077.7353,4759439820152.28,1903775928.0609121,5947395999262.31,609.102,655.956,,,
exit,2025-03-23 01:00:00,,628.45,76185168077.7353,,1915142755.1381102,10989091353589.406,,,282255534174.816,5.930436035343863,signal_reversal
entry,2025-03-23 01:00:00,SELL,628.45,139888186536.26465,8791273082871.553,3516509233.148621,10985574844356.258,644.16125,597.0275,,,
exit,2025-03-23 01:45:00,,623.82,139888186536.26465,,3490601941.002105,20421039628949.71,,,644191701721.9026,7.327627018855908,signal_reversal
entry,2025-03-23 01:45:00,BUY,623.82,261883743758.77258,16336831703159.754,6534732681.263902,20414504896268.445,608.2245,655.0110000000001,,,
exit,2025-03-23 07:15:00,,622.63,261883743758.77258,,6522267015.060983,36433172677340.19,,,-318163922088.01465,-1.9475252476676834,backtest_end
