type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-12 12:00:00,SELL,2.5024,442440.1874242083,55358.11625051695,22.143246500206782,154980.58225494722,2.5724672,2.2921984,,,
exit,2025-03-12 12:15:00,,2.5239,442440.1874242083,,22.33349578079919,200803.90098006307,,,-9534.797525401114,-17.223847506393568,signal_reversal
entry,2025-03-12 12:15:00,BUY,2.5239,568292.554550108,71715.67892145088,28.686271568580352,200775.2147084945,2.4532307999999996,2.7359076,,,
exit,2025-03-12 13:00:00,,2.5024,568292.554550108,,28.44190577012381,260244.16180134812,,,-12246.731828597236,-17.07678434169312,signal_reversal
entry,2025-03-12 13:00:00,SELL,2.5024,742841.6200486051,92944.34350048148,37.1777374001926,260206.98406394792,2.5724672,2.2921984,,,
exit,2025-03-12 13:15:00,,2.5239,742841.6200486051,,37.497159296813486,337142.7355740878,,,-16008.59199034155,-17.223847506393568,signal_reversal
entry,2025-03-12 13:15:00,BUY,2.5239,954143.3483726627,120408.11984788816,48.16324793915526,337094.5723261487,2.4532307999999996,2.7359076,,,
exit,2025-03-12 13:30:00,,2.5024,954143.3483726627,,47.75296629935502,436940.8572177256,,,-20561.83495631125,-17.07678434169312,signal_reversal
entry,2025-03-12 13:30:00,SELL,2.5024,1247205.132266526,156050.30614918776,62.420122459675106,436878.43709526595,2.5724672,2.2921984,,,
exit,2025-03-12 15:00:00,,2.5238,1247205.132266526,,62.95392625628517,566175.599487694,,,-26753.143756759775,-17.14392263427099,signal_reversal
entry,2025-03-12 15:00:00,BUY,2.5238,1602389.8188890188,202205.5712456053,80.88222849824213,566094.7172591957,2.4531336,2.7357992,,,
exit,2025-03-12 17:15:00,,2.5025,1602389.8188890188,,80.19961043539539,734089.1857520294,,,-34211.10275277165,-16.918971392344954,signal_reversal
entry,2025-03-12 17:15:00,SELL,2.5025,2095302.3712060254,262174.7091971539,104.86988367886157,733984.3158683506,2.57257,2.29229,,,
exit,2025-03-12 19:00:00,,2.5238,2095302.3712060254,,105.76248248899536,951423.3220763269,,,-44735.70298917754,-17.063317482517558,signal_reversal
entry,2025-03-12 19:00:00,BUY,2.5238,2692717.6765091424,339794.0435986887,135.91761743947546,951287.4044588874,2.4531336,2.7357992,,,
exit,2025-03-12 19:45:00,,2.5025,2692717.6765091424,,134.77051970928258,1233591.7910282218,,,-57489.657029354275,-16.918971392344954,signal_reversal
entry,2025-03-12 19:45:00,SELL,2.5025,3521026.9474189365,440568.49679579446,176.2273987183178,1233415.5636295036,2.57257,2.29229,,,
exit,2025-03-12 20:15:00,,2.5238,3521026.9474189365,,177.72735619791825,1598808.4590890764,,,-75175.60133622162,-17.06331748251756,signal_reversal
entry,2025-03-12 20:15:00,BUY,2.5238,4524946.676465983,571003.0211032423,228.40120844129692,1598580.0578806351,2.4531336,2.7357992,,,
exit,2025-03-12 21:00:00,,2.5025,4524946.676465983,,226.47358115712248,2072975.2411939944,,,-96607.83778988298,-16.918971392344954,signal_reversal
entry,2025-03-12 21:00:00,SELL,2.5025,5916869.533877548,740348.3004264281,296.13932017057124,2072679.101873824,2.57257,2.29229,,,
exit,2025-03-12 21:30:00,,2.5238,5916869.533877548,,298.65990659200315,2686699.4213220677,,,-126327.98097818434,-17.063317482517558,signal_reversal
entry,2025-03-12 21:30:00,BUY,2.5238,7603894.9807039015,959535.5076150254,383.81420304601016,2686315.607119022,2.4531336,2.7357992,,,
exit,2025-03-12 21:45:00,,2.5025,7603894.9807039015,,380.5749437842303,3483507.5767012695,,,-162343.53803277804,-16.91897139234495,signal_reversal
entry,2025-03-12 21:45:00,SELL,2.5025,9942935.854720356,1244109.8488218845,497.64393952875383,3483009.932761741,2.57257,2.29229,,,
exit,2025-03-12 22:30:00,,2.5238,9942935.854720356,,501.8796302028647,4514833.368247878,,,-212286.4133357474,-17.063317482517558,signal_reversal
entry,2025-03-12 22:30:00,BUY,2.5238,12777878.505903468,1612440.4886599586,644.9761954639835,4514188.392052414,2.4531336,2.7357992,,,
exit,2025-03-12 23:45:00,,2.5025,12777878.505903468,,639.5328192204686,5853820.535717407,,,-272808.34499496553,-16.91897139234495,signal_reversal
entry,2025-03-12 23:45:00,SELL,2.5025,16708493.037583616,2090650.1913276496,836.2600765310599,5852984.275640876,2.57257,2.29229,,,
