type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
exit,2025-03-19 11:45:00,,2.5009,8693.83313190447,,0.8696962911831956,7889.775002664491,,,207.78229887452426,9.465707156719084,signal_reversal
entry,2025-03-19 11:45:00,BUY,2.5009,12619.097129296633,3155.9100010657953,1.2623640004263181,7888.512638664064,2.4383775,2.625945,,,
exit,2025-03-20 01:00:00,,2.5253,12619.097129296633,,1.2746802392245116,11351.053929445472,,,306.6312897156131,9.716097404934215,signal_reversal
entry,2025-03-20 01:00:00,SELL,2.5253,17979.731405291324,4540.421571778219,1.8161686287112877,11349.23776081676,2.5884324999999997,2.399035,,,
exit,2025-03-20 12:00:00,,2.5008,17979.731405291324,,1.7985484919341017,16328.364203532687,,,438.7048709377067,9.662205678533315,signal_reversal
entry,2025-03-20 12:00:00,BUY,2.5008,26117.025277563425,6531.345681413061,2.612538272565225,16325.75166526012,2.43828,2.62584,,,
exit,2025-03-20 16:30:00,,2.5253,26117.025277563425,,2.6381329573372367,23494.326333016154,,,637.2289863429716,9.756473128598923,signal_reversal
entry,2025-03-20 16:30:00,SELL,2.5253,37214.31328240812,9397.730533206523,3.7590922132826092,23490.56724080287,2.5884324999999997,2.399035,,,
exit,2025-03-21 01:15:00,,2.5008,37214.31328240812,,3.722622186265849,33796.32582724213,,,908.02805323274,9.662205678533317,signal_reversal
entry,2025-03-21 01:15:00,BUY,2.5008,54056.82314018243,13518.530330896823,5.407412132358729,33790.91841510977,2.43828,2.62584,,,
exit,2025-03-21 12:30:00,,2.5256,54056.82314018243,,5.46103650091379,48644.5969233822,,,1335.148177375607,9.8764299424184,signal_reversal
entry,2025-03-21 12:30:00,SELL,2.5256,77042.44048682673,19457.83876935296,7.783135507741184,48636.81378787446,2.5887399999999996,2.39932,,,
exit,2025-03-22 07:00:00,,2.5003,77042.44048682673,,7.705168557968516,70036.12113298614,,,1941.4685757587213,9.977822299651432,signal_reversal
entry,2025-03-22 07:00:00,BUY,2.5003,112044.34849095861,28014.448453194385,11.205779381277754,70024.91535360487,2.4377925,2.6253150000000005,,,
exit,2025-03-22 17:45:00,,2.5257,112044.34849095861,,11.319616439344568,100873.97064203024,,,2834.6068352309894,10.11837459504854,signal_reversal
entry,2025-03-22 17:45:00,SELL,2.5257,159756.06072301668,40349.58825681232,16.13983530272493,100857.83080672752,2.5888424999999997,2.399415,,,
exit,2025-03-23 07:15:00,,2.5257,159756.06072301668,,16.13983530272493,141191.2792282371,,,-16.13983530272493,-0.04,backtest_end
