type,date,side,price,intended_price,slippage_pct,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reinvested,reason
entry,2025-03-19 15:35:00,BUY,131.29309095169017,131.14,0.11673856313114428,6.124761134950136,80.41388207483854,0.03216555282993542,402.0372448213627,127.86149999999998,141.6312,,,,
exit,2025-03-19 15:45:00,,131.74504981477514,132.0,0.1931440797158014,6.124761134950136,,0.032276278433104176,483.13509284639775,,,2.735863800785959,3.402228234970401,2.0518978505894694,signal_reversal
entry,2025-03-19 15:45:00,SELL,131.88070781540742,132.0,0.09037286711559477,7.326850164053394,96.62701856927956,0.03865080742771183,483.09644203897005,135.29999999999998,121.44000000000001,,,,
exit,2025-03-19 16:30:00,,131.25024531095718,131.06,0.14515894319944045,7.326850164053394,,0.03846603525554539,580.8686701754759,,,4.580838268905179,4.740742637754898,3.4356287016788842,signal_reversal
entry,2025-03-19 16:30:00,BUY,131.221451497148,131.06,0.12318899522966142,8.853257810337523,116.1737340350952,0.04646949361403808,580.8222006818619,127.7835,141.5448,,,,
exit,2025-03-19 18:50:00,,131.71854342978193,131.97,0.19054070638635714,8.853257810337523,,0.04664552893543996,698.084494093485,,,4.3542375061117236,3.7480395566835636,3.265678129583793,signal_reversal
entry,2025-03-19 18:50:00,SELL,131.85824086790495,131.97,0.0846852558119627,10.588409029251697,139.616898818697,0.0558467595274788,698.0286473339575,135.26925,121.4124,,,,
exit,2025-03-19 21:40:00,,133.3250971336388,133.16,0.12398402946741548,10.588409029251697,,0.05646802649262723,822.0574039974513,,,-15.588142155203228,-11.164939407116897,0.0,signal_reversal
entry,2025-03-19 21:40:00,BUY,133.310338136226,133.16,0.11290037265393744,12.332988056146322,164.41148079949028,0.06576459231979612,821.9916394051314,129.831,143.8128,,,,
exit,2025-03-19 22:10:00,,134.04185484338348,134.24,0.14760515242591105,12.332988056146322,,0.0661254637922859,988.6420355417348,,,8.955661348452425,5.44710217613963,6.716746011339319,signal_reversal
entry,2025-03-19 22:10:00,SELL,134.08944699471303,134.24,0.11215211955227986,14.74600809682981,197.72840710834697,0.07909136284333879,988.5629441788915,137.596,123.50080000000001,,,,
exit,2025-03-20 00:50:00,,133.96837105885854,133.88,0.06600766272672172,14.74600809682981,,0.07901994737412113,1186.7179429830053,,,1.7063667830674638,0.862985146151734,1.2797750873005977,signal_reversal
entry,2025-03-20 00:50:00,BUY,133.98801098603042,133.88,0.08067746192891294,17.71379296177077,237.34358859660108,0.09493743543864043,1186.6230055475667,130.533,144.59040000000002,,,,
exit,2025-03-20 02:40:00,,133.7854751951962,133.9,0.08553010067499213,17.71379296177077,,0.09479392835599298,1420.2841231496259,,,-3.6824709945418532,-1.5515359046840453,0.0,signal_reversal
entry,2025-03-20 02:40:00,SELL,133.80302970373268,133.9,0.07241993746626942,21.22947628756129,284.0568246299252,0.11362272985197008,1420.1705004197738,137.2475,123.18800000000002,,,,
exit,2025-03-20 04:15:00,,133.42779500324005,133.17,0.19358339208535977,21.22947628756129,,0.11330408840491496,1706.1905080716924,,,7.85273208797346,2.7644933714245923,5.889549065980095,signal_reversal
entry,2025-03-20 04:15:00,BUY,133.33906309344712,133.17,0.12695283731106075,25.591757861324623,341.2381016143385,0.13649524064573543,1706.0540128310467,129.84074999999999,143.8236,,,,
exit,2025-03-20 05:45:00,,133.31451689797535,133.47,0.11649292127417926,25.591757861324623,,0.1364701134340982,2046.5274640410207,,,-0.7646504043644089,-0.22408119162162138,0.0,signal_reversal
entry,2025-03-20 05:45:00,SELL,133.32754051855252,133.47,0.10673520749790669,30.699245723448215,409.3054928082042,0.16372219712328168,2046.3637418438975,136.80675,122.7924,,,,
exit,2025-03-20 08:00:00,,133.79804758948472,133.57,0.17073264167458665,30.699245723448215,,0.16429996561068838,2441.0607225013237,,,-14.608512150778179,-3.5690975096744078,0.0,signal_reversal
entry,2025-03-20 08:00:00,BUY,133.73682670573595,133.57,0.12489833475777554,36.5054380701352,488.21214450026474,0.1952848578001059,2440.8654376435234,130.23075,144.25560000000002,,,,
exit,2025-03-20 10:50:00,,130.03282405769048,130.23075,0.15198095865186356,36.5054380701352,,0.18987620822891227,2793.671466655718,,,-135.40611548806976,-27.735097746630583,0.0,stop_loss
entry,2025-03-20 12:25:00,BUY,130.41772462745038,130.3,0.09034890825047943,42.841898593708564,558.7342933311437,0.2234937173324575,2793.4479729383856,127.0425,140.72400000000002,,,,
exit,2025-03-20 13:45:00,,130.86970393411508,130.98,0.08420832637418198,42.841898593708564,,0.2242682633973608,3356.967112109326,,,19.13938335918629,3.425489286701613,14.354537519389718,signal_reversal
entry,2025-03-20 13:45:00,SELL,130.90208976145007,130.98,0.05948254584663441,51.28974057216211,671.3934224218652,0.2685573689687461,3356.6985547403574,134.25449999999998,120.5016,,,,
exit,2025-03-20 15:15:00,,129.65663597985528,129.47,0.14415384247722568,51.28974057216211,,0.2660022089146415,4043.995226948148,,,63.61299914370039,9.474772468612244,47.709749357775294,signal_reversal
entry,2025-03-20 15:15:00,BUY,129.58844509906064,129.47,0.0914845902993962,62.41289837001774,808.7990453896296,0.32351961815585184,4043.671707329992,126.23325,139.82760000000002,,,,
exit,2025-03-20 18:10:00,,127.83585863406142,127.9,0.05014962153134023,62.41289837001774,,0.3191442581188652,4742.767607536838,,,-109.70314518278332,-13.563708538990065,0.0,signal_reversal
entry,2025-03-20 18:10:00,SELL,127.76692388483751,127.9,0.10404700169076592,74.24092970746831,948.5535215073677,0.3794214086029471,4742.388186128235,131.0975,117.668,,,,
exit,2025-03-20 18:40:00,,127.31253395812608,127.21,0.08060212100156543,74.24092970746831,,0.3780720353785964,5699.280772278949,,,33.35625857338624,3.5165394273566206,25.01719393003968,signal_reversal
entry,2025-03-20 18:40:00,BUY,127.36837006420019,127.21,0.12449498011176945,89.49287439897707,1139.85615445579,0.455942461782316,5698.8248298171675,124.02974999999999,137.3868,,,,
exit,2025-03-20 19:40:00,,127.7896638413547,127.86,0.05501029144790903,89.49287439897707,,0.45745057342567436,6847.9923194005905,,,37.245340510532884,3.2675474326245317,27.934005382899663,signal_reversal
entry,2025-03-20 19:40:00,SELL,127.75027422142719,127.86,0.08581712699265762,107.2090429728721,1369.5984638801183,0.5478393855520474,6847.444480015039,131.0565,117.6312,,,,
